product_id,fraud_label,listed_price,original_price,seller_rating,rating_count,item_rating,item_rating_count,review1_rating,review2_rating,price_deviation,price_ratio,abnormal_discount,review_rating_diff,seller_item_rating_gap,listed_price_scaled,original_price_scaled,price_deviation_scaled,price_ratio_scaled,seller_rating_scaled,rating_count_scaled,item_rating_scaled,item_rating_count_scaled,review1_rating_scaled,review2_rating_scaled,review_rating_diff_scaled,seller_item_rating_gap_scaled
40000,1,59.52,59.71,4.9,7,4.7,2,2.0,2.0,0.318205,0.996818,0,0.0,0.2,0.022680577849117176,0.02205436489292068,0.9498022060607693,0.050197796549569865,0.005895256375102825,1.0455119054285253e-08,0.925,2.97987097158693e-06,0.25,0.25,0.0,0.0002755200440832071
40001,1,60.88,65.83,4.7,5,4.9,1,2.0,2.0,7.519368,0.924806,0,0.0,0.2,0.023226324237560193,0.0245119889487232,0.9535617015434485,0.04643828175038119,0.00562105840416781,7.467942181632323e-09,0.9750000000000001,0.0,0.25,0.25,0.0,0.0002755200440832071
40002,1,8.76,119.91,2.6,10,3.9,8,5.0,2.0,92.694521,0.073055,1,3.0,1.3,0.002311396468699839,0.04622903289280823,0.9980289081516055,0.0019711028118187747,0.002741979709350151,1.4935884363264646e-08,0.725,2.0859096801108512e-05,1.0,0.25,0.75,0.0017908802865408459
40003,1,63.47,90.79,4.5,2,4.8,5,5.0,2.0,30.09142,0.699086,0,3.0,0.3,0.024265650080256822,0.03453523999983937,0.9653458435672857,0.03465416687407073,0.005346860433232794,2.9871768726529295e-09,0.95,1.191948388634772e-05,1.0,0.25,0.75,0.00041328006612481057
40004,1,46.76,49.38,4.7,5,4.6,2,5.0,4.0,5.305792,0.946942,0,1.0,0.1,0.01756019261637239,0.01790612036735858,0.9524060647424808,0.04759393108097665,0.00562105840416781,7.467942181632323e-09,0.8999999999999999,2.97987097158693e-06,1.0,0.75,0.25,0.00013776002204160355
40005,1,15.86,86.96,2.5,15,4.4,1,3.0,2.0,81.76173,0.182383,1,1.0,1.9,0.005160513643659711,0.0329972171021721,0.9923212497667617,0.007678765895272921,0.002604880723882643,2.240382654489697e-08,0.8500000000000001,0.0,0.5,0.25,0.25,0.002617440418790467
40006,1,4.77,75.88,2.4,31,3.9,16,5.0,2.0,93.713759,0.062862,1,3.0,1.5,0.0007102728731942213,0.02854779315800675,0.9985610195142806,0.0014389590809387798,0.0024677817384151355,4.6301241526120406e-08,0.725,4.469806457380396e-05,1.0,0.25,0.75,0.002066400330624053
40007,1,11.57,154.02,1.2,36,3.6,21,5.0,2.0,92.487989,0.07512,1,3.0,2.4,0.00343900481540931,0.05992667285088407,0.9979210844402093,0.0020789098170446354,0.0008225939128050452,5.376918370775273e-08,0.65,5.959741943173861e-05,1.0,0.25,0.75,0.0033062405289984846
40008,1,115.5,40.52,1.5,200,2.8,117,5.0,1.0,-185.044423,2.850444,0,4.0,1.3,0.04514446227929374,0.014348187502258847,0.8530303425959986,0.14696964539644145,0.001233890869207568,2.9871768726529293e-07,0.44999999999999996,0.0003456650327040839,1.0,0.0,1.0,0.0017908802865408459
40009,1,14.58,97.58,3.1,11,3.6,17,5.0,5.0,85.058414,0.149416,1,0.0,0.5,0.004646869983948636,0.03726191766959413,0.9940423424021905,0.005957664906759156,0.0034274746366876885,1.642947279959111e-08,0.65,4.767793554539088e-05,1.0,1.0,0.0,0.0006888001102080177
40010,1,70.68,25.18,3.9,57,3.3,45,5.0,1.0,-180.698967,2.80699,0,4.0,0.6,0.027158908507223117,0.008188064460427032,0.8552989653451548,0.1447010518830833,0.0045242665204277485,8.513454087060848e-08,0.575,0.00013111432274982493,1.0,0.0,1.0,0.0008265601322496211
40011,1,22.29,26.18,4.5,4,4.7,2,2.0,1.0,14.858671,0.851413,0,1.0,0.2,0.007740770465489566,0.008589637018564699,0.9573933154750474,0.04260666938498577,0.005346860433232794,5.974353745305859e-09,0.925,2.97987097158693e-06,0.25,0.0,0.25,0.0002755200440832071
40012,1,19.78,101.59,1.0,50,3.7,9,2.0,1.0,80.52958,0.194704,1,1.0,2.7,0.00673354735152488,0.038872223627726174,0.9916779838999866,0.008322005658656852,0.0005483959418700302,7.467942181632323e-08,0.675,2.383896777269544e-05,0.25,0.0,0.25,0.0037195205951232957
40013,1,51.05,21.17,3.9,15,3.8,31,5.0,4.0,-141.143127,2.411431,0,1.0,0.1,0.019281701444622792,0.006577758502294988,0.875949796578052,0.12405018932611676,0.0045242665204277485,2.240382654489697e-08,0.7,8.939612914760791e-05,1.0,0.75,0.25,0.00013776002204160355
40014,1,6.99,107.07,2.5,211,4.4,189,5.0,1.0,93.471561,0.065284,1,4.0,1.9,0.001601123595505618,0.04107284124632059,0.9984345757319479,0.0015654039074070763,0.002604880723882643,3.1514716006488403e-07,0.8500000000000001,0.0005602157426583429,1.0,0.0,1.0,0.002617440418790467
40015,1,36.39,41.28,1.1,415,4.3,43,5.0,1.0,11.84593,0.881541,0,4.0,3.2,0.013398876404494383,0.014653382646443473,0.9558204603431774,0.044179555318857304,0.0006854949273375378,6.198392010754828e-07,0.825,0.00012515458080665108,1.0,0.0,1.0,0.004408320705331314
40016,1,34.49,242.35,2.8,48,4.6,7,3.0,2.0,85.768517,0.142315,1,1.0,1.8,0.012636436597110756,0.0953975769111842,0.9944130643287371,0.005586944546415897,0.0030161776802851655,7.16922449436703e-08,0.8999999999999999,1.7879225829521583e-05,0.5,0.25,0.25,0.0024796803967488635
40017,1,54.35,55.99,2.0,214,4.7,13,5.0,2.0,2.929094,0.970709,0,3.0,2.7,0.02060593900481541,0.020560514976648556,0.9511652671942663,0.048834729673326784,0.0019193857965451055,3.1962792537386346e-07,0.925,3.5758451659043166e-05,1.0,0.25,0.75,0.0037195205951232957
40018,1,17.36,18.04,1.0,145,5.0,41,2.0,1.0,3.769401,0.962306,0,1.0,4.0,0.005762439807383627,0.005320836395324089,0.9516039644394979,0.048396036082569927,0.0005483959418700302,2.1657032326733738e-07,1.0,0.00011919483886347721,0.25,0.0,0.25,0.005510400881664141
40019,1,81.61,158.24,3.3,227,3.8,185,5.0,4.0,48.426441,0.515736,0,1.0,0.5,0.03154494382022472,0.06162130904622502,0.9749179680455582,0.025082053359222593,0.0037016726076227035,3.3904457504610747e-07,0.7,0.0005482962587719951,1.0,0.75,0.25,0.0006888001102080177
40020,1,80.22,47.15,2.3,103,3.4,95,5.0,2.0,-70.137858,1.701379,0,3.0,1.1,0.03098715890850722,0.01701061356271158,0.9130193627095126,0.08698065921733601,0.002330682752947628,1.5383960894162587e-07,0.6,0.00028010787132917145,1.0,0.25,0.75,0.001515360242457639
40021,1,30.01,37.3,4.7,7,4.9,4,5.0,4.0,19.544236,0.804558,0,1.0,0.2,0.010838683788121991,0.013055123865055557,0.9598394981890479,0.040160520605393685,0.00562105840416781,1.0455119054285253e-08,0.9750000000000001,8.939612914760791e-06,1.0,0.75,0.25,0.0002755200440832071
40022,1,21.06,132.38,1.8,25,3.9,27,5.0,1.0,84.091252,0.159087,1,4.0,2.1,0.007247191011235955,0.05123664269278494,0.9935374182434095,0.006462556697335085,0.0016451878256100907,3.733971090816162e-08,0.725,7.747664526126018e-05,1.0,0.0,1.0,0.0028929604628736743
40023,1,12.69,15.03,4.8,2,4.9,2,5.0,1.0,15.568862,0.844311,0,4.0,0.1,0.0038884430176565005,0.0041121029953297104,0.9577640833435626,0.04223589681786032,0.005758157389635317,2.9871768726529295e-09,0.9750000000000001,2.97987097158693e-06,1.0,0.0,1.0,0.00013776002204160355
40024,1,38.73,43.43,4.8,5,4.9,5,5.0,4.0,10.822012,0.89178,0,1.0,0.1,0.014337881219903691,0.015516763646439457,0.9552859057030958,0.044714100561718116,0.005758157389635317,7.467942181632323e-09,0.9750000000000001,1.191948388634772e-05,1.0,0.75,0.25,0.00013776002204160355
40025,1,74.78,103.74,4.7,10,4.6,2,5.0,2.0,27.915944,0.720841,0,3.0,0.1,0.028804173354735153,0.03973560462772215,0.964210097550333,0.03578992542065115,0.00562105840416781,1.4935884363264646e-08,0.8999999999999999,2.97987097158693e-06,1.0,0.25,0.75,0.00013776002204160355
40026,1,34.63,162.11,1.5,17,4.0,29,5.0,5.0,78.637962,0.21362,1,0.0,2.5,0.012692616372391654,0.0631753948462178,0.9906904310108278,0.009309549150595045,0.001233890869207568,2.53910034175499e-08,0.75,8.343638720443405e-05,1.0,1.0,0.0,0.003444000551040088
40027,1,34.54,48.23,4.5,4,4.7,2,5.0,5.0,28.384823,0.716152,0,0.0,0.2,0.012656500802568218,0.017444311925500257,0.9644548841886057,0.03554512781895428,0.005346860433232794,5.974353745305859e-09,0.925,2.97987097158693e-06,1.0,1.0,0.0,0.0002755200440832071
40028,1,16.94,28.65,2.4,373,4.2,15,5.0,1.0,40.8726,0.591274,0,4.0,1.8,0.005593900481540932,0.009581521237164737,0.9709743507275808,0.0290256492724192,0.0024677817384151355,5.571084867497713e-07,0.8,4.1718193602217024e-05,1.0,0.0,1.0,0.0024796803967488635
40029,1,26.7,191.66,2.7,9,4.5,25,5.0,1.0,86.069081,0.139309,1,4.0,1.8,0.009510433386837882,0.07504186393918585,0.9945699791215639,0.0054300109591476475,0.0028790786948176585,1.3442295926938183e-08,0.875,7.151690331808633e-05,1.0,0.0,1.0,0.0024796803967488635
40030,1,22.12,116.91,3.5,8,4.3,14,5.0,4.0,81.079463,0.189205,1,1.0,0.8,0.00767255216693419,0.04502431521839523,0.991965060120106,0.008034920563384697,0.0039758705785577185,1.1948707490611718e-08,0.825,3.873832263063009e-05,1.0,0.75,0.25,0.0011020801763328284
40031,1,14.97,114.06,1.7,15,3.9,10,5.0,1.0,86.875329,0.131247,1,4.0,2.2,0.004803370786516854,0.04387983342770288,0.9949908952588487,0.005009119881118165,0.0015080888401425832,2.240382654489697e-08,0.725,2.6818838744282374e-05,1.0,0.0,1.0,0.003030720484915278
40032,1,17.01,154.53,3.4,33,4.3,15,5.0,3.0,88.992429,0.110076,1,2.0,0.9,0.005621990369181381,0.06013147485553427,0.9960961650446292,0.003903850095337689,0.003838771593090211,4.9288418398773336e-08,0.825,4.1718193602217024e-05,1.0,0.5,0.5,0.0012398401983744318
40033,1,48.16,52.38,4.8,8,5.0,2,4.0,2.0,8.05651,0.919435,0,2.0,0.2,0.018121990369181377,0.019110838041771577,0.9538421260974486,0.04615787912322957,0.005758157389635317,1.1948707490611718e-08,1.0,2.97987097158693e-06,0.75,0.25,0.5,0.0002755200440832071
40034,1,72.22,22.88,2.8,199,3.1,63,5.0,2.0,-215.646853,3.156469,0,3.0,0.3,0.027776886035313,0.007264447576710398,0.8370537986205313,0.16294622591665633,0.0030161776802851655,2.972240988289665e-07,0.525,0.00018475200023838968,1.0,0.25,0.75,0.00041328006612481057
40035,1,22.67,176.78,1.6,11,4.0,1,5.0,2.0,87.176151,0.128238,1,3.0,2.4,0.007893258426966292,0.06906646427409736,0.9951479447451734,0.00485202967350334,0.0013709898546750755,1.642947279959111e-08,0.75,0.0,1.0,0.25,0.75,0.0033062405289984846
40036,1,36.63,219.3,3.3,33,3.9,1,4.0,1.0,83.296854,0.167031,1,3.0,0.6,0.013495184590690209,0.08614132944611097,0.9931226886098142,0.006877287375065947,0.0037016726076227035,4.9288418398773336e-08,0.725,0.0,0.75,0.0,0.75,0.0008265601322496211
40037,1,27.7,114.8,2.9,46,4.9,13,2.0,2.0,75.87108,0.241289,1,0.0,2.0,0.009911717495987158,0.04417699712072475,0.9892459309515863,0.010754058607057184,0.0031532766657526735,6.870506807101737e-08,0.9750000000000001,3.5758451659043166e-05,0.25,0.25,0.0,0.0027552004408320707
40038,1,50.24,16.08,3.7,177,3.7,53,2.0,2.0,-212.437811,3.124378,0,0.0,0.0,0.01895666131621188,0.004533754181374261,0.8387291361879115,0.1612708580693425,0.004250068549492734,2.6436515322978423e-07,0.675,0.00015495329052252037,0.25,0.25,0.0,0.0
40039,1,44.72,41.06,2.0,466,4.1,12,5.0,1.0,-8.913785,1.089138,0,4.0,2.1,0.016741573033707866,0.014565036683653186,0.9449824811495098,0.05501752668150759,0.0019193857965451055,6.960122113281325e-07,0.7749999999999999,3.277858068745623e-05,1.0,0.0,1.0,0.0028929604628736743
