is_fraudulent,product_title,description,listed_price,original_price,seller_rating,rating_count,item_rating,item_rating_count,review_1,review1_rating,review_2,review2_rating,image_url
,"Inno3D GT 730 2GB DDR3 Low Profile Graphics Card – HDMI/DVI/VGA – Office, Triple Display, Light Gaming (REFURBISHED)","SKU5343282167_PH-31889207456 | Slot OccupancyTriple Slot | Graphic Card ModelGT 730 | RGB LightingNo | conditionRefurbished | Cooler_TypeFanless | Graphics Memory2GB | 📝 Short Description (Key Highlights) – Lazada Required 2GB DDR3 Memory – Reliable for Office & Light Gaming Triple Display Outputs: HDMI, DVI, VGA Low Profile Design – Perfect for Small Cases Smooth Performance for Movies, Online Class, Office Work Trusted Brand: Inno3D GPU Best GPU Upgrade for Budget PC Users 📦 Full Product Description (Lazada Long Description) Upgrade your PC without breaking the bank! The Inno3D GT 730 2GB DDR3 is a compact and power-efficient graphics card designed for office work, video playback, online class, CCTV display, and light gaming. With triple display outputs and a low-profile design, this GPU is compatible with most desktops—including slim and SFF units. 💡 Why Choose the GT 730 2GB DDR3? 🔹 Budget-Friendly GPU Upgrade Perfect for older PCs and workstations needing smoother graphics performance. 🔹 Triple Monitor Ready (HDMI + DVI + VGA) Boost productivity by connecting multiple screens for work or trading setups. 🔹 Low Profile Design Fits small cases and slim desktops. Easy installation, no external power needed. 🔹 Light Gaming Performance ✔️ Valorant – playable (low settings) ✔️ Roblox – smooth ✔️ League of Legends – good ✔️ Dota 2 – playable ✔️ GTA V – low settings 🔹 Cool & Quiet Operation Designed for long hours of use without overheating. 🛠️ Product Specifications Specification Details Brand Inno3D Model GT 730 Memory 2GB DDR3 Memory Bit 64-bit Outputs HDMI, DVI, VGA Design Low Profile Bus Interface PCIe Power Requirement No external power needed Uses Office, Online Class, HTPC, CCTV, Light Gaming 📐 Dimensions & Weight GPU Size: approx. 14 × 7 × 2 cm Package Weight: ~350g Shipping Dimensions: 20 × 15 × 5 cm 🎁 Package Includes 1× Inno3D GT 730 2GB DDR3 GPU 1× Low Profile Bracket (optional depending on stock) Safe protective packaging 🛡️ Warranty 7 Days Replacement Warranty (EasyTech Policy) All items are tested before packing and shipping. 🔑 Lazada Search Keywords (SEO Tags) Use these in the search keywords field: GT 730 GT730 2GB Inno3D GT730 Low profile GPU Graphics card DDR3 Budget GPU Triple display graphics card Office GPU Light gaming graphics card NVIDIA GT 730 🏆 Why Buy from EASYTECH? ✔ Trusted PC parts seller ✔ Fast delivery ✔ Highly secured packaging ✔ Tested working items ✔ Responsive customer support",1899.0,1899.0,4.6,0,5.0,4,Compatibility:,5,"Fast shipping, Reliable brand, Smooth performance for office, Good packaging, Good for light gaming,",5,https://img.lazcdn.com/g/p/1d8a998386f93643af00ae6e74914f3b.png_720x720q80.png_.webp
,AMD RX 580 8GB Graphics Cards GDDR5 256bit Gaming Video Card DirectX 12 Desktop Computer GPU DVI-D/HDMI/DP,"BrandAMD | SKU3799121400_PH-20201415385 | Slot OccupancyTriple Slot | Graphic Card ModelRX 580 | RGB LightingNo | Video_OutputDVI | graphic_card_chipsetAMD | conditionNew | ModelRX580 | Cooler_TypeDouble Fans | Graphics Memory8GB & Up | Warranty TypeNo Warranty | warranty1 Year | This is a USED (slight usage trace). Not brand new. Our graphics card comes from an internet cafe and was previously used in games. Before shipment, we will undergo strict testing (FurMark, 3D Mark) to ensure 100% work. We offer a 7 day gratuitous refund and a 1 year warranty. Fast delivery, delivery within 24 hours. | Note：1. This is a USED (slight usage trace). Not brand new. 2. Our graphics card comes from an internet cafe and was previously used in games. 3. Before shipment, we will undergo strict testing (FurMark, 3D Mark) to ensure 100% work. 4. We offer a 7 day gratuitous refund and a 1 year warranty. 5. Fast delivery, delivery within 24 hours. XFX RX 580 8GB 2048SP2048 stream processors Core frequency: 1286MHz Video memory specification: 7000MHz GDDR5/256bitXFX RX 580 8GB 2304SP 2304 stream processors Core frequency: 1366MHz Video memory specification: 8000MHz GDDR5/256bit ASUS RX 580 8GB 2304SP 2304 stream processors Core frequency: 1360MHz Video memory specification: 8000MHz GDDR5/256bit SAPPHIRE RX 580 8GB 2048SP 2048 stream processors Core frequency: 1306MHz Video memory specification: 8000MHz GDDR5/256bit SAPPHIRE RX 580 8GB 2304SP 2304 stream processors Core frequency: 1411MHz Video memory specification: 8000MHz GDDR5/256bit SAPPHIRE RX 580 8GB 2304SP Blue 2304 stream processors Core frequency: 1430MHz Video memory specification: 8400MHz GDDR5/256bit",5699.0,5936.0,4.5,0,4.7,15,I have not tested it yet because i only have 6 pin connector i need to order 8pin power connector but i hope it us ok seller is very responsive thank you so much. May you have many customers in you store. Good day and have a happy life.,5,Performance:,5,https://img.lazcdn.com/g/p/9ab53bf6cc7a7dde1a59bbd20318809e.jpg_720x720q80.jpg_.webp
,AMD Radeon RX 590 GME 8GB Graphics Cards 2304sp GDDR5 256bit Gaming Video Card DirectX 12 Desktop Computer GPU DVI-D/HDMI/DP,"BrandAMD | SKU3902491433_PH-20908330311 | Graphics Memory8GB & Up | Slot OccupancyDual Slot | Cooler_TypeDouble Fans | Graphic Card ModelRX 590 | graphic_card_chipsetAMD | Video_OutputDVI | RGB LightingNo | ModelRX 590 | Warranty TypeInternational Manufacturer Warranty | warranty1 Year | This is a USED (slight usage trace). Not brand new. Our graphics card comes from an internet cafe and was previously used in games. Before shipment, we will undergo strict testing (FurMark, 3D Mark) to ensure 100% work. We offer a 7 day gratuitous refund and a 1 year warranty. Fast delivery, delivery within 24 hours | Note： 1. This is a USED (slight usage trace). Not brand new. 2. Our graphics card comes from an internet cafe and was previously used in games. 3. Before shipment, we will undergo strict testing (FurMark, 3D Mark) to ensure 100% work. 4. We offer a 7 day gratuitous refund and a 1 year warranty. 5. Fast delivery, delivery within 24 hours. XFX RX 590 GME 8GB Black Wolf 2304 stream processors Core frequency: 1420MHz Video memory specification: 8000MHz GDDR5/256bit XFX RX 590 GME 8GB Proud Wolf 2304 stream processors Core frequency: 1440MHz Video memory specification: 8000MHz GDDR5/256bit ASUS RX 590 GME 8GB AREZ Dual 2304 stream processors Core frequency: 1380MHz Video memory specification: 8000MHz GDDR5/256bit Sapphire RX 590 GME 8GB PULSE 2304 stream processors Core frequency: 1380MHz Video memory specification: 8000MHz GDDR5/256bit Sapphire RX 590 GME 8GB NITRO+ SE 2304 stream processors Core frequency: 1420MHz Video memory specification: 8400MHz GDDR5/256bit ATALAND RX 590 GME 8GB X PLUS 2304 stream processors Core frequency: 1400MHz Video memory specification: 8400MHz GDDR5/256bit",6099.0,8299.0,4.5,0,4.8,18,"The RX 590 8GB is a fantastic graphics card that delivers solid performance for gaming and productivity tasks. With its 8GB of VRAM, it handles modern titles at 1080p with ease, offering smooth frame rates and high-quality visuals. It's a great choice for those on a budget who want reliable performance without breaking the bank. Whether for casual gaming or more demanding applications, the RX 590 delivers great value and remains a solid option for most users.",5,Performance:,5,https://img.lazcdn.com/g/p/dc662d0a61d78a64f0e244d8c7ac3c44.jpg_720x720q80.jpg_.webp
,AISURIX RX580 8G New Graphics Card Orange GPU GDDR5 256Bit Computer Video card Radeon AMD for Gaming,"BrandAISURIX | SKU4293282868_PH-24082390490 | gpu_interfacePCI-E 3.0 | Slot OccupancySingle Slot | Graphic Card ModelRX 580 | power_consumption500-1000 | input_voltage12V | RGB LightingNo | Video_OutputDVI | graphic_card_chipsetAMD | conditionNew | Cooler_TypeDouble Fans | Graphics Memory8GB & Up | Wattage (W)501-600 | Plug Type2 Pin | Warranty TypeLocal Supplier Warranty | warranty2 Years | Features: Applicable to all games AMD Radeon RX 580 8G is a mainstream game GPU based on 14nm processor and supports Direct X 12. This ensures that all modern games can be run and play. The GPU is equipped with 2048SP, 8GB GDDR5 memory, and 1750 MHz (8 GB) memory frequency speed function, providing computer users with the fastest, stable and most efficient game experience. Excellent Heat Dissipation This 580 8G composite heat pipe can directly contact the core of the GPU to quickly export the core heat, avoid problems such as full load of GPU, and improve the stability and service life of long -term use. Low Noise and Durability This RX 580 8G gaming graphics card has a semi -automatic intelligent fan system that can automatically detect the GPU temperature. When the GPU temperature is low or low load, the fan automatically stops, providing a comfortable, noise operation experience, extending the 8G graphics card Service life. Multiple Interfaces and High Definition 580 graphics cards have 2 monitors to support OUPUT, including HDMI*1+DP*2. RX 580 uses the PCI-E 3.0 interface to connect to the rest of the system. The interface has higher resolution to display more character movements and clearer image quality, and provide better PC game effects and experiences. Low Consumption and Independently Powered AMD Radeon RX 580 is used as a dual -slot card, which obtains power from the 1X 6 -pin power connector with a maximum power of 185W.",6929.0,8000.0,4.8,0,5.0,6,solid sa price pwede na pero wala na tong support ng drivers. pwede na pang online games lang,5,"Excellent cooling system, Efficient power consumption, Affordable price for the features offered, Highly recommended for gaming enthusiasts, Smooth gaming experience,",5,https://img.lazcdn.com/g/p/ddce9d8027b6bc54543e93abc564a3ae.jpg_720x720q80.jpg_.webp
,GT630 GT730 1GB DDR3 64bit GPU Graphics Card Video Card For PC Desktop Gaming Used,"BrandInno3d | SKU5147086661_PH-30447191421 | Graphic Card ModelGT 730 | Slot OccupancySingle Slot | Graphics Memory1GB & Under | Cooler_TypeSingle Fan | ModelGT730 | Warranty TypeLocal Supplier Warranty | warranty1 Month | conditionNew | RGB LightingNo | The Inno3D GeForce GT 630 1GB DDR3 64-bit graphics card features 96 CUDA cores, a 810 MHz base/boost clock, and 1620 MHz processor clock. It also has 1024MB of DDR3 memory with a 64-bit interface. The memory clock is 1333 MHz, which translates to 21.3 GB/s bandwidth. The card uses a PCI-Express 2.0 x8 interface and has a typical power consumption of 65W. GPU: NVIDIA GeForce GT 630 CUDA Cores: 96 Base/Boost Clock: 810 MHz Processor Clock: 1620 MHz Memory: 1GB DDR3 Memory Interface: 64-bit Memory Clock: 1333 MHz (effective) Memory Bandwidth: 21.3 GB/s Interface: PCI-Express 2.0 x8 TDP: 65W PORTS: 1x DVI, 1x HDMI 1.3a, 1x VGA CONDITION : 2ND HAND",1399.0,1399.0,4.7,0,5.0,6,Good items. Thank you seller and Lazada.,5,"1GB DDR3 graphics memory, Supports DVI, HDMI, VGA, Suitable for budget PCs, Used but well-maintained,",5,https://img.lazcdn.com/g/p/64be3c6529de58e19ddac43505291858.jpg_720x720q80.jpg_.webp
,AMD Radeon R5 230 2GB DDR3 Afox Gaming Graphics Card | Low Profile Videocard | For AMD and Intel PC | GPU For Gaming Work Streaming Online Class Office Pisonet | Collinx Computer,BrandAfox | SKU3200408188_PH-21213458615 | Slot OccupancySingle Slot | Graphic Card ModelR5 230 | Graphics Memory2GB | Cooler_TypeSingle Fan | Warranty TypeLocal Supplier Warranty | warranty1 Year | Delivery Option InstantYes | *Graphics Engine ATI Radeon R5 230 *Bus Standard PCI Express 2.0 *Video Memory DDR3 1024MB/2048MB *Engine Clock 625 MHz *Memory Clock 800 MHz *RAMDAC 400MHz *Memory Interface 64-Bit *D-Sub Max Resolution 2048 x 1536 *DVI Max Resolution 2560 x 1600 *DVI Output Yes x 1 *HDMI Output Yes x 1 *D-sub Output Yes x 1 *HDCP Support Yes,2498.0,2798.0,4.8,0,4.9,17,"received the item in good condition. no physical damage seen. tested, product is showing 6450 rather than R5. This is due to my system configuration. Nevertheless, product is working fine.",5,"fatajjatatjtaraattajfafjgnsgsgsgsgtjaatatantantntstajtaafgsgsngsagsgsgmgtsnst When it fits perfectly, even the keyboard goes wild 🤣 Appreciate the 5 stars.",5,https://img.lazcdn.com/g/p/85393d023dcc84484face7002da07de8.png_720x720q80.png_.webp
,[Vktech] GT210 1G Graphics Card with DVI VGA HDMI-Compatibe Port Gaming Graphics Card 64Bit DDR3 Low Profile Graphics Card PIC Express2.0 for PC Gaming,"BrandVktech | SKU3904020465_PH-20917261807 | Slot OccupancySingle Slot | Cooler_Typedesktop case | gpu_interfacevga | Graphic Card Modelgt210 | Graphics Memory1gb | conditionNew | RGB LightingNo | Warranty TypeNo Warranty | GT210 1G Discrete Graphics with DVI VGA HDMI-Compatibe Port Gaming Graphics Card 64Bit DDR3 Standalone Graphics Card for Desktop Feature: 1. Memory Capacity: The GT210 1G Gaming Graphics Card has 1GB of memory capacity, which can meet general daily office and light gaming needs. 2. Interface Type: Graphics Card has three interface types: DVI, VGA, and HDMI-Compatibe, which can connect different types of displays. The DVI interface can be used to connect digital signals, the VGA interface can be used to connect analog signals, and the HDMI interface supports high-definition video transmission. 3. Miniaturization Design: The Standalone Graphics Card is a half height small machine tool card with a relatively small size that can be adapted to different specifications of computer chassis, especially suitable for miniaturization chassis. 4. Flash Card Function: The GT210 1G independent graphics card supports the flash card function, which can be set as the main graphics card in BIOS settings, allowing the computer to directly output images after startup. 5. Scope of Application: Video Cards are suitable for scenarios such as office, home entertainment, and light gaming. For more complex applications such as graphics processing or video editing, higher performance graphics cards are required. Specification: Origin: Mainland China Interface: HDMI-Compatibe Chip manufacturer: NVIDIA Memory capacity: 1024MB Video memory bandwidth: 8.0GB/s Graphics card interface: PCle x16 2.0 Memory type: DDR3 Memory bit width: 64bit Chip model: GT210 Graphics card slot: PIC Express2.0 Core frequency: 589 (MHz) Memory frequency: 500MHz Display output: VGA+HD+DIV-D Chip manufacturing process: 40 nanometers Product size: 160 * 120 * 20mm/6.2*4.7*0.7in Note: Due to the different monitor and light effect, the actual color of the item might be slightly different from the color showed on the pictures. Thank you! Please allow 1-2cm measuring deviation due to manual measurement.",1299.0,2475.0,4.7,0,5.0,4,Performance： Hello! Maraming salamat sa iyong interest and recognition para saamin. Ang iyong satisfaction ay ang aming greatest reward. Magtratrabaho kami ng mabuti at will look forward sa iyong susunod visit.,5,"good Dear customer, Kami ay natutuwa dahil na gustuhan mo ang aming products. Ang iyong mga praise ay ang greatest support namin. Have a nice day.",5,https://img.lazcdn.com/g/p/d454645b04dc3d333f1202bc26d55f18.jpg_720x720q80.jpg_.webp
,GT730 4GB DDR3 128Bit Graphics Card with -Compatible VGA DVI Port Office Graphics Card for Office/Home,"BrandJiaminye | SKU5218609244_PH-30923711102 | Graphics Memory4GB | Slot OccupancySingle Slot | Cooler_TypeSingle Fan | Graphic Card ModelGT730 | conditionNew | RGB LightingNo | ModelNot Specified | Warranty TypeNo Warranty | GT730 4GB DDR3 128Bit Graphics Card with -Compatible VGA DVI Port Office Graphics Card for Office/Home | Model and Compatibility: Experience improved graphical performance with the GT730 Video Card. Multiple Connectivity Options: Comes with HDMI-Compatible, VGA, and DVI ports, offering versatile connectivity for various display setups. Application: Ideal for enhancing your home or office computer for multimedia, light gaming, and standard graphical tasks. Due to different batches, there may be differences in product appearance and printed text, which will not affect use. Colour:As Shown Material:ABS+Metal Package Contents: 1 * Graphics card 1 * CD 2 * Blocks Only the above package content, other products are not included. Note: Light reflection and different displays may cause the color of the item in the picture a little different from the real thing. The measurement allowed error is +/- 1-3cm.",2826.06,8189.0,4.8,0,4.8,6,"Good for home use, 4GB DDR3 graphics card, Good for multimedia, 4GB DDR3 graphics card, sorrry photo is not related to this parcel. But we already installed . Thanks",5,Received the package in a box. Not yet installed. I hope it is compatible. Edit. Installation successful and working well.,5,https://img.lazcdn.com/g/p/bb0ec03536087320dfadf1a258a9cc9a.jpg_720x720q80.jpg_.webp
,Nvidia GeForce GT 1030 Colorful Gaming Graphics Card | 2GB Videocard | For AMD Ryzen and Intel Desktop PC | GPU for Gaming Work Streaming Editing Office Pisonet | Collinx Computer,"BrandRedragon | SKU1833411301_PH-7802969376 | Slot OccupancySingle Slot | conditionNew | gpu_interfacePCI-E | Graphic Card ModelGT 1030 | Cooler_TypeSingle Fan | Graphics Memory2GB | Warranty TypeLocal Supplier Warranty | warranty1 Year | ALL BRANDNEW Warranty Policy: 1 YEAR WARRANTY FOR MAIN PC PARTS VOID WARRANTY FOR PHYSICAL DAMAGE, BURNS, OVERCLOCKED, ETC | Thanks for your interest in this product! For more inquiries, you can send us a message via Lazada SMS. We have a live agent for your daily tech and computer needs!",4710.0,5800.0,4.8,0,5.0,17,"received mine, medyo natagalan but to be expected dahil sa location ko. Thank you kay seller sobrang secure nung item and legit may receipt pa. not yet installed but hoping na magatagal Thanks. Thank you for taking the time out of your day to write such a good review. It means a lot to feel that we are doing our job well. We look forward to meeting with you again for your future upgrade!",5,"Works Nice, did tge sound test Lightweight The seller helped me pick a GPU that Would fit into my small computer it was a intel 3910 it only had a 4cm clearance in height suffice to say it fits and when i tested it it does work on a 180 watt power supply(psu) but only barely so it does use 30 wats max i do not recomend getting to close your total PSU but this product was helpful that it allowed me to slap on a GPU on my work computer the pc also recognizes that the gpu is ddr5 so that is safe Overall the seller was nice and i got the order after a day so the seller was able to ship it almost instantly What i got was an asus Passive cooling GPU",5,https://img.lazcdn.com/g/p/4a41ed35039f6cd21f4cec95a98168cc.png_720x720q80.png_.webp
,AISURIX NEW RX 590 8GB GME Graphics Card 2304SP GDDR5 256Bit Computer GPU Video card For Gaming Working,BrandAISURIX | SKU5076409658_PH-29923260864 | Slot OccupancySingle Slot | Graphic Card Modelrx 590 | RGB LightingNo | conditionNew | Cooler_TypeDouble Fans | Graphics Memory8GB & Up | Warranty TypeLocal Supplier Warranty | warranty2 Years | Model: RX590 8G GME Video Memory Type: GDDR5 CUDA: 2304sp Bus Type: PCI-E 3.0 x 16 Video Memory: 8GB Memory Bit Width: 256Bit Core Technology: 14nm Output Interface: HDMI*1+DP*2 GPU Clock: 1244MHz Memory: 1750MHz TDP: 225W Direct X: 8 Size: 215*122*45mm Power Supply: 500W or above,7129.0,9000.0,4.8,0,4.7,26,"ganda ng temps nito at ang ganda din ng itaura, nsa 65 lng nag furmark ako, d ka magsisi with warranty pa. sana tumagal",5,Nice good affordable Sana tumagal 😊,5,https://img.lazcdn.com/g/p/a419bcae67ebe555ee716b227519e49e.jpg_720x720q80.jpg_.webp
