product_id,fraud_label,listed_price,original_price,seller_rating,rating_count,item_rating,item_rating_count,review1_rating,review2_rating,price_deviation,price_ratio,abnormal_discount,review_rating_diff,seller_item_rating_gap,listed_price_scaled,original_price_scaled,price_deviation_scaled,price_ratio_scaled,seller_rating_scaled,rating_count_scaled,item_rating_scaled,item_rating_count_scaled,review1_rating_scaled,review2_rating_scaled,review_rating_diff_scaled,seller_item_rating_gap_scaled
000001,0,239.99,239.99,4.7,547.0,4.2,2219.0,5.0,4.0,0.0,1.0,0,1.0,0.5,0.09510032102728733,0.09444986567397931,0.9496360814694962,0.05036391853050386,0.00562105840416781,8.169928746705761e-07,0.8,0.006609353814979811,1.0,0.75,0.25,0.0006888001102080177
000002,0,47.99,63.22,4.9,1515.0,4.4,2747.0,5.0,4.0,24.090477696931345,0.7590952230306866,0,1.0,0.5,0.018053772070626004,0.023463884571983888,0.9622129446896731,0.03778705531032692,0.005895256375102825,2.262786481034594e-06,0.8500000000000001,0.008182725687977711,1.0,0.75,0.25,0.0006888001102080177
000003,0,25.99,33.99,4.8,20.0,4.1,577.0,4.0,5.0,23.536334215945875,0.7646366578405412,0,1.0,0.7000000000000002,0.009225521669341893,0.01172591869761988,0.9619236442095255,0.0380763557904745,0.005758157389635317,2.987176872652929e-08,0.7749999999999999,0.001716405679634072,0.75,1.0,0.25,0.0009643201542912249
000004,1,16.99,13.99,3.0,235.0,3.7,30.0,1.0,1.0,-21.44388849177983,1.2144388849177983,0,0.0,0.7000000000000002,0.005613964686998394,0.0036944675348665372,0.9384409173111616,0.06155908268883831,0.003290375651220181,3.509932825367192e-07,0.675,8.641625817602097e-05,0.0,0.0,0.0,0.0009643201542912249
000005,0,69.99,69.99,4.9,145.0,5.0,193.0,5.0,5.0,0.0,1.0,0,0.0,0.09999999999999964,0.02688202247191011,0.026182530790575892,0.9496360814694962,0.05036391853050386,0.005895256375102825,2.1657032326733738e-07,1.0,0.0005721352265446907,1.0,1.0,0.0,0.00013776002204160304
000006,1,199.99,100.99,5.0,9.0,5.0,211.0,5.0,5.0,-98.02950787206656,1.9802950787206657,0,0.0,0.0,0.07904895666131621,0.03863128009284357,0.8984580298111313,0.10154197018886876,0.006032355360570333,1.3442295926938183e-08,1.0,0.0006257729040332554,1.0,1.0,0.0,0.0
000007,1,5.97,6.99,2.4,26.0,3.7,4.0,1.0,2.0,14.592274678111593,0.8540772532188841,0,1.0,1.3000000000000003,0.0011918138041733545,0.0008834596279028677,0.9572542385275125,0.042745761472487584,0.0024677817384151355,3.883329934448808e-08,0.675,8.939612914760791e-06,0.0,0.25,0.25,0.0017908802865408463
000008,0,8.99,15.99,5.0,637.0,3.8,20.0,5.0,5.0,43.77736085053158,0.5622263914946842,0,0.0,1.2000000000000002,0.0024036918138041733,0.004497612651141871,0.9724908328980075,0.02750916710199242,0.006032355360570333,9.51415833939958e-07,0.7,5.6617548460151674e-05,1.0,1.0,0.0,0.0016531202644992427
000009,1,8.5,8.5,2.0,57.0,5.0,1.0,1.0,1.0,0.0,1.0,0,0.0,3.0,0.0022070626003210273,0.0014898341906907449,0.9496360814694962,0.05036391853050386,0.0019193857965451055,8.513454087060848e-08,1.0,0.0,0.0,0.0,0.0,0.004132800661248106
000010,1,7.99,7.99,2.8,12.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0.0,1.7999999999999998,0.002002407704654896,0.0012850321860405347,0.9496360814694962,0.05036391853050386,0.0030161776802851655,1.7923061235917576e-08,0.0,0.0,0.0,0.0,0.0,0.0024796803967488635
000011,1,7.5,7.5,4.9,22.0,2.9,109.0,1.0,1.0,0.0,1.0,0,0.0,2.0000000000000004,0.0018057784911717496,0.0010882616325530777,0.9496360814694962,0.05036391853050386,0.005895256375102825,3.285894559918222e-08,0.475,0.0003218260649313885,0.0,0.0,0.0,0.002755200440832071
000012,0,2259.99,2309.99,4.8,12096.0,4.1,23.0,5.0,5.0,2.1645115346819686,0.9783548846531803,0,0.0,0.7000000000000002,0.9056942215088282,0.9257050610189501,0.9507661032919218,0.04923389670807823,0.005758157389635317,1.8066445725804918e-05,0.7749999999999999,6.555716137491247e-05,1.0,1.0,0.0,0.0009643201542912249
000013,0,249.99,299.99,5.0,637.0,4.4,1784.0,5.0,5.0,16.66722224074136,0.8333277775925865,0,0.0,0.5999999999999996,0.0991131621187801,0.11854421916223933,0.9583375018821266,0.04166249811787349,0.006032355360570333,9.51415833939958e-07,0.8500000000000001,0.005313109942339497,1.0,1.0,0.0,0.0008265601322496207
000014,0,1614.99,1614.99,4.9,629.0,4.6,10.0,5.0,5.0,0.0,1.0,0,0.0,0.3000000000000007,0.6468659711075442,0.6466121331132716,0.9496360814694962,0.05036391853050386,0.005895256375102825,9.394671264493463e-07,0.8999999999999999,2.6818838744282374e-05,1.0,1.0,0.0,0.00041328006612481155
000015,0,1199.99,1199.99,4.7,65.0,4.3,51.0,5.0,4.0,0.0,1.0,0,1.0,0.40000000000000036,0.48033306581059393,0.47995952148613974,0.9496360814694962,0.05036391853050386,0.00562105840416781,9.70832483612202e-08,0.825,0.00014899354857934651,1.0,0.75,0.25,0.0005510400881664146
